SITE DATA,,,,Identification,,,,,,,,,,,MEASUREMENTS,,,,,,,MISC SAMPLES,,,,,,,SWABS,,,,BLOOD,,,,,,,TEETH,,Notes,,ANESTHESIA,,,,,,Necropsy,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNAlater (#),,,,PLAIN (#),,,,Aluminum (#),,,,,Teeth,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ119,NA,,,F,L,,,,,60,10.75,72.11,34.8,14.38,4.82,7.47,Y,,4,,0,38,,0,2,2,,300,,,2,2,Y,,N,moderate,101.5 (11:22); 101.8 (11:37),Mother to MIZ121.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ120,NA,,,F,L,,,,,55,10.1,70.88,30.78,16.24,2.66,7.96,Y,,3,,0,8,,0,2,2,,200,,,2,2,Y,,N,mild,97.5 (12:59),Mother to MIZ122.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ121,NA,,,F,J,,,,,20,6.68,48.68,23.13,10.14,Small,Small,Y,,2,,0,7,,0,0,2,,0,,,0,0,N,,N,baby,NA,Infant to MIZ119.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ122,NA,,,F,J,,,,,20,6.64,53.19,24.71,11.42,Small,Small,Y,,8,,1,16,,0,0,2,,0,,,2,2,Y,,N,baby,NA,Infant to MIZ120. Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ123,NA,,,F,L,,,,,40,10.02,70.02,33.22,11.75,6.66,8.61,Y,,10,,0,4,,0,2,2,,400,,,2,2,Y,,N,heavy,97.5 (11:54); 100.3 (12:08),Mother to MIZ124.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ124,NA,,,M,J,,,,,35,7.17,50.75,23.26,9.37,Small,Small,Y,,4,,0,5,,0,0,2,,0,,,2,2,Y,,N,baby,NA,Infant to MIZ123.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ125,NA,,,F,L,,,,,40,9.75,69.09,32.35,15.26,4.56,7.32,Y,,4,,0,0,,0,2,2,,400,,,2,2,Y,,N,mild,97.7 (12:38); 101.3 (12:44),Mother to MIZ126.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ126,NA,,,M,J,,,,,20,6.46,49.07,23.62,9.17,Small,Small,Y,,1,,0,6,,0,0,2,,0,,,2,2,Y,,N,baby,NA,Infant to MIZ125.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ127,NA,,,F,L,,,,,40,9.84,72.34,31.88,15.49,5.45,5.45,Y,,12,,0,14,,0,2,2,,400,,,2,2,Y,,N,heavy,98 (13:03); 102.3 (13:20),Mother to MIZ128.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ128,NA,,,F,J,,,,,10,7.35,55.83,23.87,12.64,Small,Small,Y,,1,,0,6,,0,0,2,,0,,,2,2,Y,,N,baby,NA,Infant to MIZ127.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ129,NA,,,F,L,,,,,45,10.86,72.39,39.85,14.68,5.32,5.75,Y,,15,,0,3,,0,2,2,,300,,,2,2,Y,,N,moderate,97.1 (13:34); 100.2 (13:48),Mother to MIZ130.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ130,NA,,,M,J,,,,,25,7.27,51.09,21.99,8.63,Small,Small,Y,,7,,0,6,,0,0,2,,0,,,2,2,Y,,N,baby,NA,Infant to MIZ129.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ131,NA,,,F,L,,,,,55,10.13,70.61,31.68,17.08,2.05,5.54,Y,,14,,25,21,3,0,2,2,,400,,,2,2,Y,,N,moderate,99.5 (13:37); 102.1 (14:00),Mother to MIZ132.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ132,NA,,,M,J,,,,,20,6.94,50.67,22.24,10.71,Small,Small,Y,,0,,16,25,,0,0,2,,0,,,2,2,Y,,N,baby,NA,Infant to MIZ131.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ133,NA,,,F,L,,,,,60,10.5,75.05,33.56,14.35,5.88,7.58,Y,,8,,0,8,,0,2,2,,300,,,2,2,Y,,N,mild,98.6 (14:09); 100.7 (14:16),Mother to MIZ134.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ134,NA,,,F,J,,,,,25,6.85,54.35,24.98,12.48,Small,Small,Y,,3,,0,6,,0,0,2,,0,,,2,2,Y,,N,baby,NA,Infant to MIZ133.  Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ98,NA,,,F,NL,,,,,55,12.4,70.68,24.7,14.6,4.9,7.4,Y,"2, EtOH + RNAlater",4,,0,9,,0,2,2,,400,,,2,2,Y,,N,heavy,100.6(8:05); 102.9(8:20), Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
Maromizaha,"CB ,CR, AR, Bido, Mal",1/22/16,1,Rousettus madagascariensis,MIZ99,NA,,,F,NL,,,,,44,10.58,68.73,27.49,16.46,5.76,6.05,Y,,12,,0,0,,0,2,2,,400,,,2,2,Y,,N,moderate,95.6(8:13); 99.8(8:29), Fed sugar water post-processing then released.,,,,,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, AR, AFA",2/14/18,1,Eidolon dupreanum,ANGB125,1100 Gold R,N,,M,A,N,N,,,385,22.5,137.6,65,28.5,24.9,28.3,Y,1,2,,0,3,,0,1,1,,180,,100,2,2,N,,N,mild,96.8 (16:35); 97.7 (16:53),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, AR, AFA",2/14/18,1,Eidolon dupreanum,ANGB126,1099 Gold L,N,,F,NL,N,N,,,360,21,129.5,63.6,33.4,small,small,Y,1,1,,0,10,,0,1,1,,200,,200,2,2,N,,N,mild,98.8 (19:25),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, AR, AFA",2/14/18,1,Eidolon dupreanum,ANGB127,1098 Gold R,N,,M ,A,N,N,,,295,21.5,130.5,64.1,31.7,small,small,Y,1,3,,0,7,,0,1,1,,200,,200,2,2,N,,N,new  ,100.4 (19:47),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, AR, AFA",2/14/18,1,Eidolon dupreanum,ANGB128,1097 Gold R,N,,M,A,N,N,,,325,22.5,134.1,65.2,32.3,26,30,Y,1,3,,0,1,,0,1,1,,200,,200,2,2,N,,N,mild,97.6 (20:08); 100.5 (20:22),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, AR, AFA",2/14/18,1,Eidolon dupreanum,ANGB129,1096 Gold L,N,,F,NL,N,N,,,--,21,128.5,61.5,31.8,small,small,Y,1,1,,3,2,,0,1,1,,200,,200,2,2,N,,N,mild,100.0 (20:23); 99.3 (20:53),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, AR, AFA",2/14/18,1,Eidolon dupreanum,ANGB130,dead,N,,F,NL,N,N,,,330,21,129.2,65.6,32.6,9.3,10.6,Y,1,3,,0,2,,0,1,1,,200,,500,2,2,N,,Y(4),mild,NA,dead upon arrival. Performed necropsy,N,,,,,,Y,1,1,1,1,1,1,1,1,1,1,1,1,,4,"LLC, LRC, ULC, URC",
AngavoBe,"CB, CR, AR, AFA",2/14/18,1,Eidolon dupreanum,ANGB131,dead,N,,F,NL,N,N,,,310,21.8,138.2,66.4,34.4,10,11.5,Y,1,2,,0,2,,0,1,1,,200,,500,2,2,N,,Y(4),mild,NA,dead upon arrival. Performed necropsy,N,,,,,,Y,1,1,1,1,1,1,1,1,1,1,1,1,,4,"LLC, LRC, ULC, URC",
AngavoBe,"CB, CR, AR, AFA",2/14/18,1,Eidolon dupreanum,ANGB132,dead,N,,M,A,N,N,,,350,20.3,130.6,62.5,37.1,18.5,19.2,Y,1,2,,0,1,,0,1,1,,200,,500,2,2,N,,Y(4),moderate,NA,dead upon arrival. Performed necropsy,N,,,,,,Y,1,1,1,1,1,1,1,1,1,1,1,1,,4,"LLC, LRC, ULC, URC",
AngavoBe,"CB, CR, AR, AFA",2/14/18,1,Eidolon dupreanum,ANGB133,1095 Gold L,N,,F,NL,N,N,,,285,20.5,132.2,59.1,28,8.6,8.7,Y,1,0,,0,4,,0,1,1,,200,,500,2,2,N,,N,mild,97.6 (21:06); 98.5 (21:11),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL148,1093 Gold R,N,,M,A,N,N,,,350,21,127,61.9,29,15.9,17.2,Y,1,2,,10,3,1,0,1,1,,200,,200,2,2,N,,N,mild,99.3 (13:55); 99.1 (14:07),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL149,1094 Gold L,N,,F,NL,N,N,,,380,22,128.5,65.2,26.9,7.2,9.7,Y,1,6,,2,1,0,1,1,1,,200,,20,2,2,N,,N,heavy,NA,Blood in anus; did not take temp; Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL150,1092 Gold L,N,,F,NL,N,N,,,335,21.3,130.9,62.2,24.5,6.55,8.76,Y,1,5,,0,8,0,0,1,1,,200,,200,2,2,N,,N,new,98.6 (14:38); 97.7 (14:43),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL151,1091 Gold L,N,,F,NL,N,N,,,330,21.1,124.3,63.4,29.9,8.4,11,Y,1,0,,3,7,0,0,1,1,,200,,200,2,2,Y,,N,new,100.4 (14:46); 100.1 (14:59),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL152,1090 Gold L,N,,F,NL,N,N,,,350,20.5,128.8,60.8,26.4,6.8,8.4,Y,1,7,,6,7,1,0,1,1,,200,,200,2,2,Y,,N,mild,100.4 (15:20),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL153,1089 Gold L,N,,F,NL,N,N,,,360,21,123,56.8,23.9,10.4,10.9,Y,1,1,,0,6,0,1,1,1,,200,,100,2,2,Y,,N,moderate,100.8 (15:25); 101.8 (15:37),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL154,1088 Gold L,N,,F,NL,N,N,,,340,21.8,130,64.9,29.1,6.9,8.6,Y,1,2,,0,2,0,1,1,1,,200,,200,2,2,Y,,N,mild,99.5 (15:50); 98.7 (15:57),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL155,1087 Gold L,N,,F,NL,N,N,,,340,19.8,122.8,59.4,33.6,9.9,12.8,Y,1,0,,0,3,0,0,1,1,,200,,200,2,2,Y,,N,mild,100.4 (16:06); 100.8 (16:18),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL156,1086 Gold L,N,,M,A,N,N,,,320,20.8,111.6,48.2,13.7,3,4.5,Y,1,15,,13,1,0,1,1,1,,200,,200,2,2,Y,,N,mild,100 (16:39),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL157,1085 Gold L,N,,F,NL,N,N,,,380,21.8,131.4,65.1,30.1,8.8,13.7,Y,1,0,,2,1,0,1,1,1,,200,,200,2,2,Y,,N,mild,98.3 (17:00),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL158,1084 Gold L,N,,F,J,Y,N,,,295,19.8,130.1,56.6,31,2.1,4.2,Y,1,7,,3,6,0,0,1,1,,200,,200,2,2,Y,,N,mild,99.3 (17:04),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL159,1083 Gold R,N,,M,J,Y,N,,,275,21.6,122.3,58.2,22,small,small,Y,1,5,,0,0,0,1,1,1,,200,,200,2,2,Y,,N,mild,97.9 (17:21),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL160,1082 Gold L,N,,F,NL,N,N,,,325,21.9,120.9,58,29.1,7.3,11.1,Y,1,3,,0,6,0,1,1,1,,200,,200,2,2,Y,,N,moderate,99 (17:38),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL161,1081 Gold R,N,,M,A,N,N,,,360,23.9,131.08,57.4,20.5,15.8,17.9,Y,1,4,,1,0,0,1,1,1,,200,,200,2,2,Y,,N,mild,100.7 (17:55),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL162,1080 Gold L,N,,F,NL,N,N,,,400,22.8,128.8,62.7,28.1,8,10.5,Y,1,2,,0,0,0,0,1,1,,200,,200,2,2,Y,,N,moderate,skipped because late and rushed and bats seemed healthy,Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL163,1079 Gold L,N,,F,NL,N,N,,,360,21.2,127,63.4,27.9,5.4,11.4,Y,1,2,,0,0,0,1,1,1,,200,,200,2,2,Y,,N,moderate,99.3 (18:24),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL164,1078 Gold L,N,,F,J,Y,N,,,230,19.2,112.9,52.6,26.8,small,small,Y,1,10,,2,0,0,0,1,1,,200,,200,2,2,Y,,N,new,100.6 (18:47),Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL165,1077 Gold L,N,,F,NL,N,N,,,355,20.8,124.6,61.4,29.2,8.7,10.7,Y,1,0,,2,3,0,1,1,1,,200,,200,2,2,Y,,N,moderate,skipped because late and rushed and bats seemed healthy,Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL166,1075 Gold L,N,,F,J,Y,N,,,220,18.3,109.3,49.8,27.8,small,small,Y,1,1,,0,2,0,1,1,1,,200,,200,2,2,Y,,N,new,skipped because late and rushed and bats seemed healthy,Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL167,1074 Gold L,N,,F,NL,N,N,,,300,19.4,126,67,30.1,6.3,9.6,Y,1,2,,1,1,0,0,1,1,,200,,200,2,2,Y,,N,moderate,skipped because late and rushed and bats seemed healthy,Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL168,1073 Gold L,N,,F,NL,N,N,,,330,20.8,129.6,62.6,25.2,8.9,9.4,Y,1,0,,0,17,0,1,1,1,,200,,200,2,2,Y,,N,mild,skipped because late and rushed and bats seemed healthy,Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL169,1072 Gold R,N,,M,J,Y,N,,,205,17.9,107.7,53.1,25.7,small,small,Y,1,7,,0,1,0,1,1,1,,200,,200,2,2,Y,,N,new,skipped because late and rushed and bats seemed healthy,Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL170,1070 Gold L,N,,F,NL,N,N,,,355,19.5,124.3,59.1,28.4,8.2,11.1,Y,1,7,,1,0,0,1,1,1,,200,,200,2,2,Y,,N,mild,skipped because late and rushed and bats seemed healthy,Fed suagr water post-processing then released.,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL171,1071 Gold R,N,,M,J,Y,N,,,200,18.2,106.8,49.4,29.3,small,small,Y,1,4,,2,1,0,1,1,1,,200,,200,2,2,Y,,N,new,skipped because late and rushed and bats seemed healthy,,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL172,dead,N,,F,NL,N,N,,,360,18.8,134.3,60.2,31.9,7.9,10.3,Y,1,1,,0,1,0,0,1,1,,200,,200,2,2,Y,,Y(4),,NA,died pre-processing. Performed necropsy,N,,,,,,Y,1,1,1,1,1,1,1,1,1,1,1,1,,4,"LLC, LRC, ULC, URC",
AngavoKely,"CB, CR, AR, AFA",2/15/18,1,Eidolon dupreanum,KEL173,dead,N,,F,NL,N,N,,,315,21.6,129.9,64,31.4,9.3,10.5,Y,1,4,,0,1,0,0,1,1,,200,,200,2,2,Y,,Y(4),,NA,died pre-processing. Performed necropsy,N,,,,,,Y,1,1,1,1,1,1,1,1,1,1,1,1,,4,"LLC, LRC, ULC, URC",
AngavoKely,"CB, CR, AR, AFA",2/16/18,1,Eidolon dupreanum,KEL174,1069 Gold L,N,,F,NL,N,N,,,300,20.6,122.8,58.6,22.9,7.4,8.2,Y,1,0,,0,3,0,1,1,1,,200,,200,2,2,Y,,N,mild,96.4  (7:46),Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/16/18,1,Eidolon dupreanum,KEL175,1068 Gold L,N,,F,NL,N,N,,,330,20.8,133.9,64.3,29.1,11.7,15.4,Y,1,0,,0,6,0,0,1,1,,200,,200,2,2,Y,,N,mild,97.5 (7:55),Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/16/18,1,Eidolon dupreanum,KEL176,1067 Gold L,N,,F,NL,N,N,,,355,21.2,132.3,61.9,27,9.2,11.1,Y,1,5,,6,2,0,0,1,1,,200,,200,2,2,Y,,N,moderate,97.8  (8:19),Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/16/18,1,Eidolon dupreanum,KEL177,1066 Gold L,N,,F,NL,N,N,,,300,19,123.8,60.6,27.3,6.7,8.5,Y,1,0,,0,4,0,1,1,1,,200,,200,2,2,Y,,Y,moderate,97.6 (8:30); 98.5 (10:22); 97.8 (10:24); 97.6 (10:27); 97.4 (10:29),Bit Angelo. Got shots to follow. Fed sugar water and released after processing,Y,Y,0.025,0.4,,6,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/16/18,1,Eidolon dupreanum,KEL178,1065 Gold L,N,,F,NL,N,N,,,360,20.3,126,64.4,24.9,9.2,12.2,Y,1,6,,0,4,0,1,1,1,,200,,200,2,2,Y,,Y,moderate,"96.2 (8:46); 98.5(9:34); 98.3 (9""36); 97.7 (9:38); 97.4 (9:43); 97 (9:48)",Fed sugar water and released after processing,Y,Y,0.025,0.4,,8,N,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, AR, AFA",2/16/18,1,Eidolon dupreanum,KEL179,351 Gold R ,Y,,M,A,N,N,,,310,20.6,130.5,58.9,30.9,22.7,24.5,Y,1,2,,0,2,0,0,1,1,,200,,200,2,2,Y,,Y,moderate,97.3 (9:59); 97 (10:06),3rd time recapture. Took tooth in Dec 2014 upon second capture. Wound fully healed; took photos. Started to adminsiter anesthesia before realizing that tooth had been taken before,Y,N,0,0.4,,started anesthesia; delivered LA-200; then halted because tooth had been taken before. Took photos of wund site,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ135,M1,N,,F,J,Y,Y,baby,MIZ136,20,8.7,50.5,22.2,8.3,small,small,Y,1,17,,0,6,0,0,1,1,,150,,100,2,2,Y,,N,new,too small,baby of MIZ136. Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ136,M2,N,,F,L,N,Y,mom,MIZ135,60,11.8,67.9,28,13.3,6.1,7.4,Y,1,6,,0,0,0,1,1,1,,150,,100,2,2,Y,,N,moderate,too small,mom to MIZ135. Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ137,dead,N,,F,J,N,N,,,40,81,58.2,21.6,17.1,small,small,Y,1,7,,0,4,0,0,1,1,,100,,100,2,2,Y,,Y(4),mild,too small,died in pochon. Likely born last year (no mammory glands yet). Performed necropsy.,N,,,,,,Y,1,1,1,1,1,1,1,1,1,1,1,1,,4,"LLC, LRC, ULC, URC",
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ138,M3,N,,F,NL,N,N,,,60,10.8,73.2,35.5,19.3,0.4,1.8,Y,1,31,,5,4,0,0,1,1,,200,,100,2,2,Y,,N,moderate,too small,Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ139,M4,N,,F,NL,N,N,,,50,10.1,64.1,25.5,9.9,1.9,3.1,Y,1,4,,0,3,0,0,1,1,,200,,100,2,2,Y,,N,mild,too small,Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ140,M5,N,,F,L,N,Y,mom,MIZ141,60,10.3,64.9,26.2,10.5,6.8,8,Y,1,5,,5,6,0,0,1,1,,200,,100,2,2,Y,,N,moderate,too small,mom to MIZ141. Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ141,M6,N,,M,J,Y,Y,baby,MIZ140,20,7.4,51.1,22,6.8,small,small,Y,1,7,,5,25,0,0,1,1,,50,,50,2,2,Y,,N,new,too small,baby to MIZ140. Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ142,M7,N,,M,A,N,N,,,60,12.4,71.3,28.4,12.4,0.5,1.5,Y,1,29,,0,9,0,1,1,1,,200,,100,2,2,Y,,N,heavy,too small,Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ143,M8,N,,F,NL,N,N,,,50,10.3,63.4,28.2,9,1.2,4,Y,1,2,,2,13,0,1,1,1,,200,,100,2,2,Y,,N,mild,too small,Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ144,M9,N,,F,J,Y,Y,baby,MIZ145,20,6.2,36.5,17.4,9.4,small,small,Y,1,0,,0,2,0,1,1,1,,0,,0,2,1,N,,N,new,too small,baby to MIZ145. Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ145,M10,N,,F,L,N,Y,mom,MIZ144,50,11.6,69.4,33.8,11.4,5.7,6.7,Y,1,18,,0,2,0,0,1,1,,200,,100,2,2,Y,,N,mild,too small,mom to MIZ144. Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ146,M11,N,,M,A,N,N,,,60,11.6,72.5,32.7,12.5,7.8,11.6,Y,1,16,,0,0,0,0,1,1,,200,,100,2,2,Y,,N,heavy,too small,Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ147,M12,N,,F,NL,N,N,,,55,11.4,71.6,32.1,12.2,5.7,6.9,Y,1,8,,1,5,0,0,1,1,,200,,100,2,2,Y,,N,mild,too small,Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
Maromizaha,"CB, CR, AR, AFA",2/18/18,1,Rousettus madagascariensis,MIZ148,M13,N,,M,A,N,N,,,55,11.8,69.7,32.7,13.9,8.8,11.6,Y,1,20,,0,5,0,0,1,1,,200,,100,2,2,Y,,N,mild,too small,Fed sugar water and released after processing,N,,,,,,N,,,,,,,,,,,,,,,,
